year,geography_id,geography_name,source_geography_name,irbi_score,risk_class,unit,claim_type,source_family,source_page
2017,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,113.20,,index_points,official_index,BNPB IRBI 2024,67
2018,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,113.20,,index_points,official_index,BNPB IRBI 2024,67
2019,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,113.20,,index_points,official_index,BNPB IRBI 2024,67
2020,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,113.20,,index_points,official_index,BNPB IRBI 2024,67
2021,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,113.20,,index_points,official_index,BNPB IRBI 2024,67
2022,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,101.08,,index_points,official_index,BNPB IRBI 2024,67
2023,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,107.47,,index_points,official_index,BNPB IRBI 2024,67
2024,idn.13.1373,Sawahlunto,KOTA SAWAHLUNTO,114.22,sedang,index_points,official_index,BNPB IRBI 2024,67
2015,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,,index_points,official_index,BNPB IRBI 2024,67
2016,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,,index_points,official_index,BNPB IRBI 2024,67
2017,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,,index_points,official_index,BNPB IRBI 2024,67
2018,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,,index_points,official_index,BNPB IRBI 2024,67
2019,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,,index_points,official_index,BNPB IRBI 2024,67
2020,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,,index_points,official_index,BNPB IRBI 2024,67
2021,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,,index_points,official_index,BNPB IRBI 2024,67
2022,idn.13.1374,Padang Panjang,KOTA PADANG PANJANG,113.20,,index_points,official_index,BNPB IRBI 2024,67
