geography_id,canonical_name,djpk_province_selector,djpk_pemda_selector,djpk_source_name,year,period_selector,conceptual_family,source_account_label,source_account_label_normalized,budget_rupiah_raw,realization_rupiah_raw,realization_idr_billion,percentage_raw,html_display_realization_raw,html_crosscheck_status,taxonomy_contract_type,claim_type,html_response_sha256,export_response_sha256
idn.13.1307,Agam,03,02,Kab. Agam,2018,12,capital_expenditure,Belanja Modal,belanja modal,229920477329,212319559024.4,212.3195590244,92.34,"212,32 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,5a19922c65990129d22a1970fb1d0673830bbcefb10f396fd5290c9f9503fc1c,a28472d78f856c155bc0ec78546bb981923a377bab9a026d7a156d551ec37e25
idn.13.1307,Agam,03,02,Kab. Agam,2019,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1514031232279,1511711867547.5,1511.7118675475,99.85,"1.511,71 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,92ebce74309e3a2225a3b1ccbbab4e3388e44ba5bd183600db9eb5f8cf869caf,5c379210b1fb45c132d27f0b0a48269f4ef166b58d7da1859eaec73b41ba838c
idn.13.1307,Agam,03,02,Kab. Agam,2019,12,own_source_revenue_pad,PAD,pad,117952590279,123658588901.53,123.65858890153,104.84,"123,66 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,92ebce74309e3a2225a3b1ccbbab4e3388e44ba5bd183600db9eb5f8cf869caf,5c379210b1fb45c132d27f0b0a48269f4ef166b58d7da1859eaec73b41ba838c
idn.13.1307,Agam,03,02,Kab. Agam,2019,12,total_expenditure,Belanja Daerah,belanja daerah,1548789648279,1507715255642.3,1507.7152556423,97.35,"1.507,72 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,92ebce74309e3a2225a3b1ccbbab4e3388e44ba5bd183600db9eb5f8cf869caf,5c379210b1fb45c132d27f0b0a48269f4ef166b58d7da1859eaec73b41ba838c
idn.13.1307,Agam,03,02,Kab. Agam,2019,12,capital_expenditure,Belanja Modal,belanja modal,288083136908,280827672997.34,280.82767299734,97.48,"280,83 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,92ebce74309e3a2225a3b1ccbbab4e3388e44ba5bd183600db9eb5f8cf869caf,5c379210b1fb45c132d27f0b0a48269f4ef166b58d7da1859eaec73b41ba838c
idn.13.1307,Agam,03,02,Kab. Agam,2020,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1529401045121,1365885610415.5,1365.8856104155,89.31,"1.365,89 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,647588ec6910155fff4e57c2a88c59e77cb339b8065e5ae468292aebc468484f,4b1388b43307caff37dd8e22c261f938a0512bfbb6866965b12c445d4287fa6c
idn.13.1307,Agam,03,02,Kab. Agam,2020,12,own_source_revenue_pad,PAD,pad,125059319211,107162961554.53,107.16296155453,85.69,"107,16 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,647588ec6910155fff4e57c2a88c59e77cb339b8065e5ae468292aebc468484f,4b1388b43307caff37dd8e22c261f938a0512bfbb6866965b12c445d4287fa6c
idn.13.1307,Agam,03,02,Kab. Agam,2020,12,total_expenditure,Belanja Daerah,belanja daerah,1557010916411.4,1354150129481.6,1354.1501294816,86.97,"1.354,15 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,647588ec6910155fff4e57c2a88c59e77cb339b8065e5ae468292aebc468484f,4b1388b43307caff37dd8e22c261f938a0512bfbb6866965b12c445d4287fa6c
idn.13.1307,Agam,03,02,Kab. Agam,2020,12,capital_expenditure,Belanja Modal,belanja modal,226201352383,135090687654,135.090687654,59.72,"135,09 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,647588ec6910155fff4e57c2a88c59e77cb339b8065e5ae468292aebc468484f,4b1388b43307caff37dd8e22c261f938a0512bfbb6866965b12c445d4287fa6c
idn.13.1307,Agam,03,02,Kab. Agam,2021,12,total_revenue,Pendapatan Daerah,pendapatan daerah,1436392722048,1411504675336,1411.504675336,98.27,"1.411,50 M",passed_display_rounding_crosscheck,exact_label,observed_recorded_fiscal_realization,cbbee61b61f465e8be7a8e3afdc026b163bc9bc4bba4e081da07501993531071,cc7a049037e157330f6c03fad764fe9033269802ada54f265d231687400672a8
