indicator_id,geography_id,outer_held_year,selected_penalty,hierarchical_slope_per_year
mean_years_schooling,idn.13.1304,2020,0.1,0.12350451142091297
mean_years_schooling,idn.13.1305,2020,0.1,0.15162563830527986
mean_years_schooling,idn.13.1306,2020,0.1,0.16129293492550562
mean_years_schooling,idn.13.1307,2020,0.1,0.10778966063200604
mean_years_schooling,idn.13.1308,2020,0.1,0.05596880184415372
mean_years_schooling,idn.13.1309,2020,0.1,0.08682011815409088
mean_years_schooling,idn.13.1310,2020,0.1,0.142814492522306
mean_years_schooling,idn.13.1311,2020,0.1,0.12734400511405233
mean_years_schooling,idn.13.1312,2020,0.1,0.1967748493983225
mean_years_schooling,idn.13.1371,2020,0.1,0.05131534955214845
mean_years_schooling,idn.13.1372,2020,0.1,0.06601934462972067
mean_years_schooling,idn.13.1373,2020,0.1,0.09581761298993666
mean_years_schooling,idn.13.1374,2020,0.1,0.09708689616138684
mean_years_schooling,idn.13.1375,2020,0.1,0.06260528934030807
mean_years_schooling,idn.13.1376,2020,0.1,0.07004694538566476
mean_years_schooling,idn.13.1377,2020,0.1,0.1317196918366824
mean_years_schooling,idn.13.1301,2021,0.01,0.18618648687368636
mean_years_schooling,idn.13.1302,2021,0.01,0.12133490685025328
mean_years_schooling,idn.13.1303,2021,0.01,0.03905118769683093
mean_years_schooling,idn.13.1304,2021,0.01,0.12228896057553185
mean_years_schooling,idn.13.1305,2021,0.01,0.1508176938037224
mean_years_schooling,idn.13.1306,2021,0.01,0.16048235365104457
mean_years_schooling,idn.13.1307,2021,0.01,0.1048624556210855
mean_years_schooling,idn.13.1308,2021,0.01,0.05700679295454105
mean_years_schooling,idn.13.1309,2021,0.01,0.08179750680885063
mean_years_schooling,idn.13.1310,2021,0.01,0.1426390904390097
mean_years_schooling,idn.13.1311,2021,0.01,0.1272878401428955
mean_years_schooling,idn.13.1312,2021,0.01,0.19721478793500288
mean_years_schooling,idn.13.1371,2021,0.01,0.045746637033001344
mean_years_schooling,idn.13.1372,2021,0.01,0.06557449589690403
mean_years_schooling,idn.13.1373,2021,0.01,0.09534274774455057
mean_years_schooling,idn.13.1374,2021,0.01,0.09417118069679478
mean_years_schooling,idn.13.1375,2021,0.01,0.061886330439948664
mean_years_schooling,idn.13.1376,2021,0.01,0.06796099607083768
mean_years_schooling,idn.13.1377,2021,0.01,0.12940919260112477
mean_years_schooling,idn.13.1301,2022,0.01,0.1899451760390045
mean_years_schooling,idn.13.1302,2022,0.01,0.12478593588440616
mean_years_schooling,idn.13.1303,2022,0.01,0.040230448859016145
mean_years_schooling,idn.13.1304,2022,0.01,0.12427646982924681
mean_years_schooling,idn.13.1305,2022,0.01,0.15326447373048657
mean_years_schooling,idn.13.1306,2022,0.01,0.16298854851989844
mean_years_schooling,idn.13.1307,2022,0.01,0.10716530797261528
