regime_id,indicator_id,geography_id,geography_name,analysis_year,z_time,value,favorable_direction_semantics
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,mean_years_schooling,idn.13.1302,Pesisir Selatan,2019,-1.0,8.25,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,labor_force_participation,idn.13.1302,Pesisir Selatan,2019,-1.0,68.82,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,unemployment_rate,idn.13.1302,Pesisir Selatan,2019,-1.0,6.02,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,poverty_rate,idn.13.1302,Pesisir Selatan,2019,-1.0,7.88,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,real_grdp_growth,idn.13.1302,Pesisir Selatan,2019,-1.0,4.78,higher_rate_is_generally_favorable_but_slope_is_not_structural_acceleration
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,rice_yield,idn.13.1302,Pesisir Selatan,2019,-1.0,5.106000000000001,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,expected_years_schooling,idn.13.1302,Pesisir Selatan,2020,-0.6,13.32,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,mean_years_schooling,idn.13.1302,Pesisir Selatan,2020,-0.6,8.26,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,labor_force_participation,idn.13.1302,Pesisir Selatan,2020,-0.6,65.0,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,unemployment_rate,idn.13.1302,Pesisir Selatan,2020,-0.6,7.0,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,poverty_rate,idn.13.1302,Pesisir Selatan,2020,-0.6,7.61,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,real_grdp_growth,idn.13.1302,Pesisir Selatan,2020,-0.6,-1.11,higher_rate_is_generally_favorable_but_slope_is_not_structural_acceleration
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,rice_yield,idn.13.1302,Pesisir Selatan,2020,-0.6,4.805,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,expected_years_schooling,idn.13.1302,Pesisir Selatan,2021,-0.2,13.33,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,mean_years_schooling,idn.13.1302,Pesisir Selatan,2021,-0.2,8.27,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,labor_force_participation,idn.13.1302,Pesisir Selatan,2021,-0.2,66.59,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,unemployment_rate,idn.13.1302,Pesisir Selatan,2021,-0.2,5.97,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,poverty_rate,idn.13.1302,Pesisir Selatan,2021,-0.2,7.92,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,real_grdp_growth,idn.13.1302,Pesisir Selatan,2021,-0.2,3.35,higher_rate_is_generally_favorable_but_slope_is_not_structural_acceleration
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,rice_yield,idn.13.1302,Pesisir Selatan,2021,-0.2,4.801,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,expected_years_schooling,idn.13.1302,Pesisir Selatan,2022,0.2,13.35,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,mean_years_schooling,idn.13.1302,Pesisir Selatan,2022,0.2,8.43,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,labor_force_participation,idn.13.1302,Pesisir Selatan,2022,0.2,66.95,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,unemployment_rate,idn.13.1302,Pesisir Selatan,2022,0.2,4.61,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,poverty_rate,idn.13.1302,Pesisir Selatan,2022,0.2,7.11,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,real_grdp_growth,idn.13.1302,Pesisir Selatan,2022,0.2,4.01,higher_rate_is_generally_favorable_but_slope_is_not_structural_acceleration
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,rice_yield,idn.13.1302,Pesisir Selatan,2022,0.2,5.617000000000001,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,expected_years_schooling,idn.13.1302,Pesisir Selatan,2023,0.6,13.36,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,mean_years_schooling,idn.13.1302,Pesisir Selatan,2023,0.6,8.58,higher_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,labor_force_participation,idn.13.1302,Pesisir Selatan,2023,0.6,65.0,higher_is_generally_favorable_with_context
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,unemployment_rate,idn.13.1302,Pesisir Selatan,2023,0.6,4.75,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,poverty_rate,idn.13.1302,Pesisir Selatan,2023,0.6,7.34,lower_is_generally_favorable
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,real_grdp_growth,idn.13.1302,Pesisir Selatan,2023,0.6,4.19,higher_rate_is_generally_favorable_but_slope_is_not_structural_acceleration
sumbar_current_kabkota_hierarchical_trajectory_2018_2025_v1,rice_yield,idn.13.1302,Pesisir Selatan,2023,0.6,5.188000000000001,higher_is_generally_favorable_with_context
