regime_id,geography_id,geography_name,target_year,feature_year,poverty_rate,unemployment_rate,real_grdp_growth,lag1_poverty_rate,lag1_unemployment_rate,lag1_real_grdp_growth,lag1_mean_years_schooling,lag1_labor_force_participation,lag1_rice_yield
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1373,Sawahlunto,2020,2019,2.16,8.2,-1.27,2.17,6.84,5.31,9.97,69.83,4.699000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1373,Sawahlunto,2021,2020,2.38,6.38,2.48,2.16,8.2,-1.27,10.17,70.57,4.2909999999999995
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1373,Sawahlunto,2022,2021,2.28,5.0,3.96,2.38,6.38,2.48,10.32,68.05,5.417000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1373,Sawahlunto,2023,2022,2.27,4.98,4.46,2.28,5.0,3.96,10.43,70.85,6.261
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1373,Sawahlunto,2024,2023,2.33,5.55,4.02,2.27,4.98,4.46,10.44,69.9,6.329000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1373,Sawahlunto,2025,2024,2.72,4.64,3.38,2.33,5.55,4.02,10.53,73.54,5.455
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1374,Padang Panjang,2019,2018,5.6,4.38,5.56,5.88,5.35,5.71,11.44,66.17,4.696000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1374,Padang Panjang,2020,2019,5.24,7.22,-1.44,5.6,4.38,5.56,11.45,69.05,5.509
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1374,Padang Panjang,2021,2020,5.92,4.9,3.46,5.24,7.22,-1.44,11.62,69.81,5.767
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1374,Padang Panjang,2022,2021,5.14,4.84,4.39,5.92,4.9,3.46,11.63,65.94,6.291
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1374,Padang Panjang,2023,2022,5.24,5.49,4.84,5.14,4.84,4.39,11.92,64.02,7.001000000000001
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1374,Padang Panjang,2024,2023,5.31,4.94,4.52,5.24,5.49,4.84,11.94,66.05,6.397
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1374,Padang Panjang,2025,2024,4.97,5.07,3.61,5.31,4.94,4.52,12.0,66.33,5.886
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1375,Bukittinggi,2019,2018,4.6,6.2,5.84,4.92,7.24,6.0,11.31,69.15,5.863
sumbar_current_kabkota_dynamic_forecast_2019_2026_v1,idn.13.1375,Bukittinggi,2020,2019,4.54,7.51,-1.74,4.6,6.2,5.84,11.32,65.55,6.541
