geography_id,geography_name,omitted_year,full_period_slope_mm_per_year,leave_one_year_out_slope_mm_per_year,same_direction_as_full
idn.13.1304,Sijunjung,2018,12.875544585185208,13.177929927884618,True
idn.13.1304,Sijunjung,2019,12.875544585185208,14.083615390109902,True
idn.13.1304,Sijunjung,2020,12.875544585185208,13.282758684593034,True
idn.13.1304,Sijunjung,2021,12.875544585185208,12.159893088636347,True
idn.13.1304,Sijunjung,2022,12.875544585185208,10.683803632239389,True
idn.13.1304,Sijunjung,2023,12.875544585185208,13.041994917108758,True
idn.13.1304,Sijunjung,2024,12.875544585185208,10.752987458333292,True
idn.13.1304,Sijunjung,2025,12.875544585185208,10.683803632239389,True
idn.13.1305,Tanah Datar,1981,13.711327511494254,14.981698502777766,True
idn.13.1305,Tanah Datar,1982,13.711327511494254,11.731393073809524,True
idn.13.1305,Tanah Datar,1983,13.711327511494254,14.157367640000006,True
idn.13.1305,Tanah Datar,1984,13.711327511494254,15.194606968245967,True
idn.13.1305,Tanah Datar,1985,13.711327511494254,14.540706264802623,True
idn.13.1305,Tanah Datar,1986,13.711327511494254,14.838048194444443,True
idn.13.1305,Tanah Datar,1987,13.711327511494254,12.926575875000008,True
idn.13.1305,Tanah Datar,1988,13.711327511494254,14.737506006410264,True
idn.13.1305,Tanah Datar,1989,13.711327511494254,14.274404833928564,True
idn.13.1305,Tanah Datar,1990,13.711327511494254,13.984702918650783,True
idn.13.1305,Tanah Datar,1991,13.711327511494254,13.711327511494254,True
idn.13.1305,Tanah Datar,1992,13.711327511494254,14.076246862222213,True
idn.13.1305,Tanah Datar,1993,13.711327511494254,12.998765708333337,True
idn.13.1305,Tanah Datar,1994,13.711327511494254,12.862187070402296,True
idn.13.1305,Tanah Datar,1995,13.711327511494254,13.840099541256158,True
idn.13.1305,Tanah Datar,1996,13.711327511494254,12.998765708333337,True
idn.13.1305,Tanah Datar,1997,13.711327511494254,12.998765708333337,True
idn.13.1305,Tanah Datar,1998,13.711327511494254,13.057428426282062,True
idn.13.1305,Tanah Datar,1999,13.711327511494254,14.189910071428567,True
idn.13.1305,Tanah Datar,2000,13.711327511494254,13.711327511494254,True
idn.13.1305,Tanah Datar,2001,13.711327511494254,13.53015625454546,True
idn.13.1305,Tanah Datar,2002,13.711327511494254,13.675624831250014,True
idn.13.1305,Tanah Datar,2003,13.711327511494254,14.044559336428577,True
idn.13.1305,Tanah Datar,2004,13.711327511494254,13.692589197916679,True
idn.13.1305,Tanah Datar,2005,13.711327511494254,13.244852339160854,True
idn.13.1305,Tanah Datar,2006,13.711327511494254,13.984702918650783,True
idn.13.1305,Tanah Datar,2007,13.711327511494254,13.53015625454546,True
idn.13.1305,Tanah Datar,2008,13.711327511494254,13.675624831250014,True
idn.13.1305,Tanah Datar,2009,13.711327511494254,13.711327511494254,True
idn.13.1305,Tanah Datar,2010,13.711327511494254,12.998765708333337,True
idn.13.1305,Tanah Datar,2011,13.711327511494254,14.076246862222213,True
idn.13.1305,Tanah Datar,2012,13.711327511494254,13.244852339160854,True
idn.13.1305,Tanah Datar,2013,13.711327511494254,12.998765708333337,True
idn.13.1305,Tanah Datar,2014,13.711327511494254,14.189910071428567,True
idn.13.1305,Tanah Datar,2015,13.711327511494254,14.617817526315786,True
idn.13.1305,Tanah Datar,2016,13.711327511494254,12.862187070402296,True
idn.13.1305,Tanah Datar,2017,13.711327511494254,12.998765708333337,True
idn.13.1305,Tanah Datar,2018,13.711327511494254,14.076246862222213,True
idn.13.1305,Tanah Datar,2019,13.711327511494254,14.714382056410251,True
idn.13.1305,Tanah Datar,2020,13.711327511494254,13.984702918650783,True
idn.13.1305,Tanah Datar,2021,13.711327511494254,13.675624831250014,True
idn.13.1305,Tanah Datar,2022,13.711327511494254,11.510021732142862,True
idn.13.1305,Tanah Datar,2023,13.711327511494254,14.076246862222213,True
idn.13.1305,Tanah Datar,2024,13.711327511494254,12.36302779629629,True
idn.13.1305,Tanah Datar,2025,13.711327511494254,12.505199240740748,True
idn.13.1306,Padang Pariaman,1981,13.25866127430556,15.571157369047615,True
idn.13.1306,Padang Pariaman,1982,13.25866127430556,11.302819219327727,True
idn.13.1306,Padang Pariaman,1983,13.25866127430556,12.392999389745924,True
idn.13.1306,Padang Pariaman,1984,13.25866127430556,15.63606553571428,True
idn.13.1306,Padang Pariaman,1985,13.25866127430556,14.499957528205137,True
idn.13.1306,Padang Pariaman,1986,13.25866127430556,15.571157369047615,True
idn.13.1306,Padang Pariaman,1987,13.25866127430556,15.524645226190472,True
idn.13.1306,Padang Pariaman,1988,13.25866127430556,15.496268892857172,True
idn.13.1306,Padang Pariaman,1989,13.25866127430556,13.46576096428568,True
idn.13.1306,Padang Pariaman,1990,13.25866127430556,13.46576096428568,True
idn.13.1306,Padang Pariaman,1991,13.25866127430556,13.46576096428568,True
idn.13.1306,Padang Pariaman,1992,13.25866127430556,13.444637874999994,True
idn.13.1306,Padang Pariaman,1993,13.25866127430556,12.0850105327381,True
idn.13.1306,Padang Pariaman,1994,13.25866127430556,12.0850105327381,True
idn.13.1306,Padang Pariaman,1995,13.25866127430556,13.25866127430556,True
idn.13.1306,Padang Pariaman,1996,13.25866127430556,12.690817179028112,True
idn.13.1306,Padang Pariaman,1997,13.25866127430556,12.392999389745924,True
idn.13.1306,Padang Pariaman,1998,13.25866127430556,12.421909681350112,True
idn.13.1306,Padang Pariaman,1999,13.25866127430556,13.46576096428568,True
idn.13.1306,Padang Pariaman,2000,13.25866127430556,13.10282199350649,True
