provenance_id,source_id,artifact_locator,retrieved_at,source_release,checksum_sha256,parser_revision,transform_revision,extraction_method,notes
bpsprov_c606bbf051bf5fb073102493,bps_webapi,bps-webapi://domain/1300/var/361/th/120,2026-08-15T16:08:23+00:00,2025-11-10 11:38:08,e813e2dac60aa22f3070d2bfb88bede3f823cf6c6d8addf6cec2fa8de3a170c3,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-361-2020.json; source_var=361 [Metode Baru] Harapan Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=120:2020
bpsprov_cde052e57f05b91e06c2e261,bps_webapi,bps-webapi://domain/1300/var/361/th/123,2026-08-15T16:08:23+00:00,2025-11-10 11:38:08,900e2c403fa28402b2a0dfa69f4a7e5bf28290e85a0014988307816e11e02940,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-361-2023.json; source_var=361 [Metode Baru] Harapan Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=123:2023
bpsprov_ce6b2b59b7187847c132bfad,bps_webapi,bps-webapi://domain/1300/var/363/th/123,2026-08-15T16:08:36+00:00,2025-11-10 11:23:03,ffbe58e60707bdbb99c3a1e095eb601136ef0896e1932ebd1b9ad610f5ed950a,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-363-2023.json; source_var=363 [Metode Baru] Rata-Rata Lama Sekolah Menurut Kabupaten/Kota di Provinsi Sumatera Barat; source_period=123:2023
bpsprov_d7adc77cd028b6d503ff15ea,bps_webapi,bps-webapi://domain/1300/var/752/th/123,2026-08-15T16:08:49+00:00,2025-11-24 11:00:21,252fcf9074b7bfaa032ba66f453d30152ae5ccfce42f8318165c8f1835e5f173,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-752-2023.json; source_var=752 [Metode Baru] Umur Harapan Hidup Saat Lahir Menurut Kabupaten/Kota (Hasil Long Form SP2020) di Provinsi Sumatera Barat; source_period=123:2023
bpsprov_da6907579350f5a1fd4daaa4,bps_webapi,bps-webapi://domain/1300/var/141/th/124,2026-08-15T16:07:55+00:00,2025-11-10 09:03:05,9bd53425bb8825d3d0a15ab62ab0ee13a71a1f3d7c5f8335913a9da17d2fcb5c,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-141-2024.json; source_var=141 Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota; source_period=124:2024
bpsprov_dca86ab5cd51810aef6250d8,bps_webapi,bps-webapi://domain/1300/var/138/th/123,2026-08-15T16:09:12+00:00,2026-02-27 09:56:39,1c3f181948af16b420e2fb375906e259ff87e9634f3bfbb2a9f1d7fa4246237d,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-138-2023.json; source_var=138 Laju Pertumbuhan Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 Menurut Kabupaten/Kota; source_period=123:2023
bpsprov_e1c353a6f64bb5cc8feebc91,bps_webapi,bps-webapi://domain/1300/var/141/th/119,2026-08-15T16:07:55+00:00,2025-11-10 09:03:05,df6deef0bf6ebf6239f8e3335e07891429567be2bb225b99c16b214ca0d6f62e,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-141-2019.json; source_var=141 Tingkat Partisipasi Angkatan Kerja (TPAK) Menurut Kabupaten/Kota; source_period=119:2019
bpsprov_e5a920fca830644335e66025,bps_webapi,bps-webapi://domain/1300/var/138/th/120,2026-08-15T16:09:12+00:00,2026-02-27 09:56:39,e0a9216e2cb572f0370da9b8117a31b5c23ad583c1ad64833cea21bbb76b0736,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-138-2020.json; source_var=138 Laju Pertumbuhan Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 Menurut Kabupaten/Kota; source_period=120:2020
bpsprov_f15e0f6de3fc2b7c85e7802c,bps_webapi,bps-webapi://domain/1300/var/139/th/119,2026-08-15T16:07:41+00:00,2025-11-10 08:58:50,a9cf94b784a45750b2fcc7bce0d8341648869d79705596ab654e31f46b1afb66,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-139-2019.json; source_var=139 Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota; source_period=119:2019
bpsprov_f60c2c4420f7deee0700f3c4,bps_webapi,bps-webapi://domain/1300/var/139/th/121,2026-08-15T16:07:41+00:00,2025-11-10 08:58:50,095d8d0de4205143f631323cf855a81142639dd2c003e2629adf031361820ce2,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-139-2021.json; source_var=139 Tingkat Pengangguran Terbuka (TPT) Menurut Kabupaten/Kota; source_period=121:2021
bpsprov_f9d23f023457ad4f89bddd43,bps_webapi,bps-webapi://domain/1300/var/138/th/121,2026-08-15T16:09:12+00:00,2026-02-27 09:56:39,1832ae93389969c95cb1b12946423d1b394144b4915bd79c9b71ad4581b1fe51,normalize_bps_dynamic:v2,build_bps_canonical_panel:v1,api,source_snapshot=var-138-2021.json; source_var=138 Laju Pertumbuhan Produk Domestik Regional Bruto Atas Dasar Harga Konstan 2010 Menurut Kabupaten/Kota; source_period=121:2021
