regime_id,geography_id,geography_name,analysis_year,expected_years_schooling,mean_years_schooling,life_expectancy,labor_force_participation,unemployment_rate,poverty_rate,real_grdp_growth,agriculture_share_grdp,manufacturing_share_grdp,rice_yield,underemployment_rate,population_total,annual_rainfall,flood_events,landslide_events
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2020,12.43,8.47,73.04,72.72,5.31,6.23,-1.39,27.19805868558662,4.99902576073556,4.4590000000000005,9.79,228591.0,3039.796046,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2021,12.44,8.55,73.47,73.04,5.0,6.67,3.4,27.474449014605923,5.361450028657028,4.886,9.97,,3360.740287,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2022,12.51,8.56,73.84,71.65,6.23,5.56,4.27,26.60588860736484,5.247956181009069,4.763000000000001,6.6,,3815.293034,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2023,12.68,8.71,74.04,73.93,6.22,5.56,4.35,25.97737794246864,5.14501582204037,4.577000000000001,7.79,,3199.790741,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2024,12.89,8.98,74.25,74.45,6.02,5.32,3.86,,,4.5360000000000005,7.08,,3471.425003,8,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1311,Dharmasraya,2025,13.02,9.31,74.34,74.56,5.51,4.61,3.79,,,4.939,,,3815.589208,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2018,13.22,7.86,,66.96,3.36,7.34,5.21,42.8037971213691,14.809655887099975,4.9510000000000005,12.7,,4066.942671,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2019,13.4,8.06,,65.76,4.74,7.14,4.45,41.00576853320122,13.074361077251517,4.57,14.62,,3237.458841,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2020,13.61,8.19,71.71,67.47,4.69,7.04,-1.34,39.871685144416475,13.289586234625816,4.6979999999999995,15.6,431672.0,3748.958598,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2021,13.68,8.27,71.83,66.93,5.02,7.51,3.71,39.74934280569035,13.765815103043426,4.74,10.28,,3718.636822,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2022,13.69,8.55,72.14,63.88,6.33,6.93,4.13,39.106390181914016,13.624855735543756,5.019,9.91,,4331.760164,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2023,13.7,8.81,72.44,66.42,6.01,6.92,4.33,38.883708999239175,13.225743308661706,4.882000000000001,10.88,,3782.060938,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2024,13.72,8.99,72.75,67.08,6.34,7.0,4.08,,,4.647,15.86,,4467.756881,4,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1312,Pasaman Barat,2025,13.73,9.28,73.17,68.06,5.95,6.3,3.87,,,4.422,,,3548.113333,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2018,16.5,11.33,,62.78,9.29,4.7,6.06,5.22053330537251,13.147314503351216,4.671,7.6,,3788.531370,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2019,16.51,11.34,,61.98,8.74,4.48,5.64,5.296117293849018,11.7481840230695,5.013000000000001,5.68,,2839.940826,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2020,16.52,11.58,74.43,64.31,13.64,4.4,-1.86,5.411381886730643,11.881442575076457,4.548,9.9,909040.0,3833.450096,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2021,16.53,11.59,74.47,63.78,13.37,4.94,3.65,5.286728558295557,11.77357141733071,5.043,7.67,,4272.073887,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2022,16.54,11.6,74.71,62.81,11.69,4.26,4.31,5.121599053453984,11.255317413492621,5.1080000000000005,6.29,,4965.282037,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2023,16.56,11.62,74.94,66.99,10.86,4.17,4.54,5.016715630288771,10.877566155978831,5.269,7.99,,3578.425027,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2024,16.57,11.63,75.2,67.18,9.88,4.06,4.65,,,4.861000000000001,7.23,,4477.248585,1,1
sumbar_current_kabkota_2018_2025_v1,idn.13.1371,Padang,2025,16.58,11.64,75.59,67.27,9.7,3.63,3.63,,,5.041,,,4389.212124,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2018,14.3,11.01,,64.76,6.03,3.3,5.65,5.611105562494099,4.751485758881667,5.2090000000000005,4.73,,2975.660545,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2019,14.31,11.02,,62.51,7.06,3.24,5.49,5.448508373620033,4.099503875245347,5.757000000000001,7.97,,2349.436808,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2020,14.32,11.03,73.86,66.77,8.35,2.77,-1.42,5.511956035706319,4.137571071338069,6.4670000000000005,6.96,73438.0,3004.073527,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2021,14.33,11.04,73.98,66.51,5.15,3.12,3.55,5.20145739524519,4.305570223533588,5.872,6.29,,3274.039720,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2022,14.34,11.35,74.31,69.46,3.9,3.02,4.6,5.0521941286369625,4.2352738446112355,6.466,5.04,,3916.840246,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2023,14.36,11.36,74.56,70.12,3.72,3.05,4.81,4.976255431946752,4.16706738609451,6.299,7.02,,2938.237223,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2024,14.37,11.37,74.85,71.16,3.62,3.07,4.55,,,5.678000000000001,7.94,,3565.650111,1,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1372,Solok,2025,14.59,11.38,75.3,70.32,3.87,2.91,3.61,,,5.828,,,3618.055931,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1373,Sawahlunto,2018,13.15,9.94,,72.88,5.92,2.39,5.5,9.164496501949158,12.215161071042862,4.766,6.96,,2776.417149,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1373,Sawahlunto,2019,13.16,9.97,,69.83,6.84,2.17,5.31,8.842628926347986,10.661100494465233,4.699000000000001,6.21,,2334.179498,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1373,Sawahlunto,2020,13.17,10.17,72.81,70.57,8.2,2.16,-1.27,8.922359724582485,10.815954894730815,4.2909999999999995,12.71,65138.0,2803.900303,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1373,Sawahlunto,2021,13.18,10.32,73.2,68.05,6.38,2.38,2.48,8.962598073030337,11.220397391100976,5.417000000000001,11.56,,3005.110378,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1373,Sawahlunto,2022,13.42,10.43,73.5,70.85,5.0,2.28,3.96,8.727047982166315,10.80270583328345,6.261,7.75,,3756.138973,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1373,Sawahlunto,2023,13.69,10.44,73.79,69.9,4.98,2.27,4.46,8.51100910525308,10.869528319451067,6.329000000000001,8.26,,2942.359410,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1373,Sawahlunto,2024,13.86,10.53,74.12,73.54,5.55,2.33,4.02,,,5.455,7.48,,3282.380943,1,0
sumbar_current_kabkota_2018_2025_v1,idn.13.1373,Sawahlunto,2025,13.89,10.54,74.21,74.02,4.64,2.72,3.38,,,5.601,,,3476.419413,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1374,Padang Panjang,2018,15.04,11.44,,66.17,5.35,5.88,5.71,5.159220452823614,9.497085141718939,4.696000000000001,6.28,,2757.616151,,
sumbar_current_kabkota_2018_2025_v1,idn.13.1374,Padang Panjang,2019,15.05,11.45,,69.05,4.38,5.6,5.56,5.046153805421392,8.408194564420246,5.509,3.93,,2157.335339,,
