geography_id,geography_name,year,event_time,real_grdp_constant_2000_million_rupiah,log_real_grdp,price_basis,unit,source_block,source_table,source_pdf_page,revision_status,source_internal_consistency_status
idn.13.1308,Lima Puluh Kota,2006,-3,2255102.49,14.628705979996955,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1308,Lima Puluh Kota,2007,-2,2398597.58,14.690394782857378,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1308,Lima Puluh Kota,2008,-1,2545801.72,14.749956176040838,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1308,Lima Puluh Kota,2009,0,2684575.16,14.803033046217777,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1308,Lima Puluh Kota,2010,1,2846157.9,14.861480537470271,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1308,Lima Puluh Kota,2011,2,3025798.44,14.922685561726608,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1308,Lima Puluh Kota,2012,3,3219859.68,14.984848338931307,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1308,Lima Puluh Kota,2013,4,3421606.17,15.045620639143152,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1309,Pasaman,2005,-4,1022262.67,13.837529032378498,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1309,Pasaman,2006,-3,1081242.18,13.89362110483213,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1309,Pasaman,2007,-2,1145234.55,13.951120021153734,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1309,Pasaman,2008,-1,1214884.21,14.01015932980389,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1309,Pasaman,2009,0,1289261.25,14.069579937878624,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1309,Pasaman,2010,1,1368459.76,14.129196402573116,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1309,Pasaman,2011,2,1452571.4,14.188845923126562,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1309,Pasaman,2012,3,1541992.76,14.248586137893351,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1309,Pasaman,2013,4,1636516.09,14.308080204833487,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1310,Solok Selatan,2005,-4,486320.39,13.09462292436339,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1310,Solok Selatan,2006,-3,514759.93,13.15145591562189,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1310,Solok Selatan,2007,-2,546074.75,13.210511150118345,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1310,Solok Selatan,2008,-1,579478.58,13.269883978179747,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1310,Solok Selatan,2009,0,614807.23,13.329064050499356,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1310,Solok Selatan,2010,1,653437.94,13.39000284196689,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1310,Solok Selatan,2011,2,694409.87,13.450817655936941,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_internal_mismatch_unresolved
idn.13.1310,Solok Selatan,2012,3,740174.46,13.514641194150853,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_internal_mismatch_unresolved
idn.13.1310,Solok Selatan,2013,4,787260.83,13.576314895616822,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1311,Dharmasraya,2005,-4,846237.71,13.648555580208038,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1311,Dharmasraya,2006,-3,899308.5,13.70938141365378,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1311,Dharmasraya,2007,-2,957502.48,13.772083590111913,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1311,Dharmasraya,2008,-1,1020079.52,13.835391143005983,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1311,Dharmasraya,2009,0,1087775.99,13.899645793655333,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1311,Dharmasraya,2010,1,1158557.51,13.962686263400617,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1311,Dharmasraya,2011,2,1234376.14,14.026076250615501,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1311,Dharmasraya,2012,3,1316135.71,14.090210508650882,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1311,Dharmasraya,2013,4,1402405.45,14.153699498776705,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1312,Pasaman Barat,2005,-4,1988702.87,14.502993160050371,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1312,Pasaman Barat,2006,-3,2115152.38,14.564637415148558,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1312,Pasaman Barat,2007,-2,2250818.83,14.626804632420608,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1312,Pasaman Barat,2008,-1,2394934.54,14.688866456512084,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1312,Pasaman Barat,2009,0,2544771.31,14.74955134538307,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1312,Pasaman Barat,2010,1,2707342.74,14.8114781730679,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1312,Pasaman Barat,2011,2,2881110.75,14.873686454841174,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1312,Pasaman Barat,2012,3,3067381.19,14.936334722950765,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1312,Pasaman Barat,2013,4,3268006.04,14.999690583185536,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1371,Kota Padang,2005,-4,9110697.44,16.024959823934733,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1371,Kota Padang,2006,-3,9577495.51,16.07492668674973,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1371,Kota Padang,2007,-2,10165760.8,16.1345358473004,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1371,Kota Padang,2008,-1,10797259.04,16.194802867291067,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1371,Kota Padang,2009,0,11345637.06,16.244343827991067,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1371,Kota Padang,2010,1,12021599.5,16.302215548101852,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1371,Kota Padang,2011,2,12792184.77,16.364344977575477,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1371,Kota Padang,2012,3,13637633.14,16.42834367186224,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1371,Kota Padang,2013,4,14516707.54,16.49081078820495,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1372,Kota Solok,2005,-4,394216.63,12.884655859518178,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1372,Kota Solok,2006,-3,418554.23,12.94456174235657,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1372,Kota Solok,2007,-2,445151.83,13.006170693967196,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1372,Kota Solok,2008,-1,473694.17,13.068317181468574,constant_2000,million_rupiah,preperiod_table22,22,97,revised,preperiod_level_source_qualified
idn.13.1372,Kota Solok,2009,0,497623.07,13.11759818187259,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,overlap_reconciled_growth_crosscheck_not_applied
idn.13.1372,Kota Solok,2010,1,527270.61,13.175469187192974,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1372,Kota Solok,2011,2,559279.15,13.234404001373527,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,unspecified,postperiod_level_growth_crosscheck_passed
idn.13.1372,Kota Solok,2012,3,594697.89,13.295808807680991,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,revised,postperiod_level_growth_crosscheck_passed
idn.13.1372,Kota Solok,2013,4,632752.91,13.357835277369533,constant_2000,million_rupiah,postperiod_table13_1_2,13.1.2,413,preliminary,postperiod_level_growth_crosscheck_passed
idn.13.1373,Kota Sawahlunto,2005,-4,444671.74,13.005091626019864,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
idn.13.1373,Kota Sawahlunto,2006,-3,449255.32,13.01534664653451,constant_2000,million_rupiah,preperiod_table22,22,97,unspecified,preperiod_level_source_qualified
