excluded_geography_id,excluded_geography_name,named_influence_gate_geography,event_time,calendar_year,coefficient_log_points_per_1sd_pga,full_sample_coefficient,change_from_full_sample,absolute_change_from_full_sample
idn.13.1312,Pasaman Barat,False,-4,2005,-0.013483451875916798,-0.013294672141391524,-0.00018877973452527397,0.00018877973452527397
idn.13.1312,Pasaman Barat,False,-3,2006,-0.0018561293283178672,-0.0017209094519789242,-0.00013521987633894304,0.00013521987633894304
idn.13.1312,Pasaman Barat,False,-2,2007,-0.0010215864189167495,-0.0009598610224034408,-6.172539651330873e-05,6.172539651330873e-05
idn.13.1312,Pasaman Barat,False,0,2009,-0.003615002037560492,-0.0037002512335674352,8.524919600694323e-05,8.524919600694323e-05
idn.13.1312,Pasaman Barat,False,1,2010,-0.004848617515636214,-0.004997115740192616,0.0001484982245564025,0.0001484982245564025
idn.13.1312,Pasaman Barat,False,2,2011,-0.00491631593834059,-0.00510864520700105,0.00019232926866045996,0.00019232926866045996
idn.13.1312,Pasaman Barat,False,3,2012,-0.004547011456710548,-0.004768365760008386,0.00022135430329783823,0.00022135430329783823
idn.13.1312,Pasaman Barat,False,4,2013,-0.0040722642897506045,-0.004329683022264108,0.00025741873251350356,0.00025741873251350356
idn.13.1371,Kota Padang,True,-4,2005,-0.013547523360687767,-0.013294672141391524,-0.00025285121929624274,0.00025285121929624274
idn.13.1371,Kota Padang,True,-3,2006,-0.001588649377641725,-0.0017209094519789242,0.00013226007433719909,0.00013226007433719909
idn.13.1371,Kota Padang,True,-2,2007,-0.0008976053330445228,-0.0009598610224034408,6.225568935891792e-05,6.225568935891792e-05
idn.13.1371,Kota Padang,True,0,2009,-0.0036530570693309207,-0.0037002512335674352,4.719416423651455e-05,4.719416423651455e-05
idn.13.1371,Kota Padang,True,1,2010,-0.004996645270794613,-0.004997115740192616,4.704693980029165e-07,4.704693980029165e-07
idn.13.1371,Kota Padang,True,2,2011,-0.005196139269224467,-0.00510864520700105,-8.749406222341698e-05,8.749406222341698e-05
idn.13.1371,Kota Padang,True,3,2012,-0.004942486998489537,-0.004768365760008386,-0.0001741212384811508,0.0001741212384811508
idn.13.1371,Kota Padang,True,4,2013,-0.004546305007826934,-0.004329683022264108,-0.00021662198556282597,0.00021662198556282597
idn.13.1372,Kota Solok,False,-4,2005,-0.013247929353388518,-0.013294672141391524,4.674278800300552e-05,4.674278800300552e-05
idn.13.1372,Kota Solok,False,-3,2006,-0.0016673115120592052,-0.0017209094519789242,5.359793991971894e-05,5.359793991971894e-05
idn.13.1372,Kota Solok,False,-2,2007,-0.0009340474187916294,-0.0009598610224034408,2.5813603611811323e-05,2.5813603611811323e-05
idn.13.1372,Kota Solok,False,0,2009,-0.00368136009825153,-0.0037002512335674352,1.889113531590523e-05,1.889113531590523e-05
idn.13.1372,Kota Solok,False,1,2010,-0.0049859119460850575,-0.004997115740192616,1.1203794107558784e-05,1.1203794107558784e-05
idn.13.1372,Kota Solok,False,2,2011,-0.005098804093844677,-0.00510864520700105,9.841113156373177e-06,9.841113156373177e-06
idn.13.1372,Kota Solok,False,3,2012,-0.0047637829716105085,-0.004768365760008386,4.582788397877735e-06,4.582788397877735e-06
idn.13.1372,Kota Solok,False,4,2013,-0.00433279498862249,-0.004329683022264108,-3.11196635838229e-06,3.11196635838229e-06
idn.13.1373,Kota Sawahlunto,False,-4,2005,-0.013167294109741465,-0.013294672141391524,0.00012737803165005848,0.00012737803165005848
idn.13.1373,Kota Sawahlunto,False,-3,2006,-0.001651422516586292,-0.0017209094519789242,6.948693539263217e-05,6.948693539263217e-05
idn.13.1373,Kota Sawahlunto,False,-2,2007,-0.0009322330017682507,-0.0009598610224034408,2.762802063519009e-05,2.762802063519009e-05
idn.13.1373,Kota Sawahlunto,False,0,2009,-0.003713338251092711,-0.0037002512335674352,-1.308701752527567e-05,1.308701752527567e-05
idn.13.1373,Kota Sawahlunto,False,1,2010,-0.0050190246287750645,-0.004997115740192616,-2.1908888582448244e-05,2.1908888582448244e-05
idn.13.1373,Kota Sawahlunto,False,2,2011,-0.005132585806785579,-0.00510864520700105,-2.394059978452854e-05,2.394059978452854e-05
idn.13.1373,Kota Sawahlunto,False,3,2012,-0.00479499450915033,-0.004768365760008386,-2.6628749141943686e-05,2.6628749141943686e-05
idn.13.1373,Kota Sawahlunto,False,4,2013,-0.004358952070498745,-0.004329683022264108,-2.926904823463694e-05,2.926904823463694e-05
idn.13.1374,Kota Padang Panjang,False,-4,2005,-0.013810158331047515,-0.013294672141391524,-0.0005154861896559913,0.0005154861896559913
idn.13.1374,Kota Padang Panjang,False,-3,2006,-0.0012502033596030848,-0.0017209094519789242,0.0004707060923758394,0.0004707060923758394
idn.13.1374,Kota Padang Panjang,False,-2,2007,-0.0007985062016238396,-0.0009598610224034408,0.00016135482077960113,0.00016135482077960113
idn.13.1374,Kota Padang Panjang,False,0,2009,-0.004571158065164334,-0.0037002512335674352,-0.0008709068315968984,0.0008709068315968984
idn.13.1374,Kota Padang Panjang,False,1,2010,-0.006122661936299211,-0.004997115740192616,-0.0011255461961065943,0.0011255461961065943
