year,quarter,geography_id,canonical_name,status_penanaman_modal,observed_source_row_count,investasi_rp_juta_complete,investasi_rp_juta_missing_rows,investasi_rp_juta_sum,investasi_us_ribu_complete,investasi_us_ribu_missing_rows,investasi_us_ribu_sum,raw_evidence_path,raw_evidence_sha256
2025,IV,idn.13.1311,Dharmasraya,PMDN,19,true,0,89246.253582,true,0,5577.890848525,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1312,Pasaman Barat,PMA,10,true,0,32876.777904,true,0,2054.798618805,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1312,Pasaman Barat,PMDN,12,true,0,23474.487168,true,0,1467.155448103,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1371,Padang,PMA,64,true,0,148839.112728,true,0,9302.444545785,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1371,Padang,PMDN,59,true,0,389755.128584,true,0,24359.695536938,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1372,Solok,PMDN,10,true,0,8566.230223,true,0,535.389388938,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1373,Sawahlunto,PMA,2,true,0,700,true,0,43.75,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1373,Sawahlunto,PMDN,17,true,0,78757.261033,true,0,4922.32881469,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1374,Padang Panjang,PMDN,7,true,0,20.577694,true,0,1.286105875,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1375,Bukittinggi,PMA,7,true,0,1164.3198,true,0,72.769987505,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1375,Bukittinggi,PMDN,11,true,0,441.897964,true,0,27.618622755,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1376,Payakumbuh,PMDN,11,true,0,6104.094574,true,0,381.50591085,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1377,Pariaman,PMA,1,true,0,0,true,0,0,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
2025,IV,idn.13.1377,Pariaman,PMDN,9,true,0,699.571073,true,0,43.723192061,data/processed/bkpm/m27_stage1_pilot/2025-qiv.json,6855561d9fea7020f8e6fbf2732c37d5224297d8dd8a84c86fddeb363335e52c
