dimension_tuple_sha256,multiplicity,page_count,page_paths,distinct_full_row_hash_count,full_row_hashes,exact_full_row_duplicate,crosses_page_boundary,differing_non_dimension_fields
d51ab0672393ac3bf4e5bf0e12405b17f50232a6f07462b98b952f50ea77956b,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,33a4ea526ada2188ebd846956c20af43ad26c4997bf5f6afbd65d9a5547505ab|cfa38b90e024990c63d24236db82be8e52c354c9bc1f2c6396376bef75ed3200,false,false,investasi_rp_juta|investasi_us_ribu
d602a1f64ab6825d43db7875540e9c289a70d5fb79b4fd14e6b677b936bc9c68,7,2,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json|data/processed/bkpm/m27_full_history/2024/q1/page-001000.json,2,28aa6e0d728ddd49f5fe8eff422dd9b9eec736c980352b40a1cf5aa987e2580f|9dd01c87593eacce32f7a322e2b239ef2fccee09cde421e2d342aa0b9d66183a,false,true,investasi_rp_juta|investasi_us_ribu
d8294aded4ace7cf1ba5161cf19cec40bb3fede0333e47b4b57b6b064dcec3ab,5,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,4,88cac341260afbd70717f1fdde644d0ce19f38da6d9dab83c6892d2a93c4ac9a|92adea6e434f09184232e51728059a6e8fadf47d14ea847c53942fb691d62202|ad412800c17603a24409b45a61118329ce0a3b19b434fe6a167ad107d2a79d67|db11fff928308fac842e17e0beff24796437e0264ec14841c87e49d469f0c8cf,false,false,investasi_rp_juta|investasi_us_ribu
da0b84eb3a68c7ced285a1def2fa98ba7ab719ec68f7de9670494db4d28a1e55,40,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,9,11f2b5b1fd7be39b7fa8ceda04ba5099308dff96cf3ae33e2db6b61098dcb387|615a1111c10d7404cfa760960575c0236f3701fe2698c177f66e37919305c6b5|744c00daa46a79118e8d11b0829e0efc9e3e8fa832146f63bfc41bd1c0338451|92644562d4e220ca17fdfd76aceaf487918caa3b26a2a7b2316813ae0f45e329|ca4266e8c96f50056cf8bca651f7b2c3f7995560d3dd051fc4ae193633daf754|ce36246a46bf8b178868bd629f80349424e41056aa082d72802aa315e8b1ce35|d54ded0bce926800d25a413ccd18167f62b2c40fb7ed80fdcda563ee6b366972|d56d6d8c272bcb96187c0643b7fb943beff12ad03ef0cc5c46b62b495caaebf9|dde3955d3749365adfe91e79a3156c9ae401788d116c5aa79dae261d1ed59fcd,false,false,investasi_rp_juta
dcc9a18a8957c5c1d496ea2caa97ca0b238e2bc474380cd5901c0061eac764bf,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,22cf064cfd3985a08d0cca27ccd08571e91c20fbdcba7acb353e99d659f536bb|b5b08748ca6b218ec3604f79bbf7be288c457cfcc41f581d665ec1efd6f9415c,false,false,investasi_rp_juta|investasi_us_ribu
df79a2449cf3740053255cc7d71c2b39e9532cf376f721a8e10809263522c8cc,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,4763e60a176f71fc4248d4b68b44560cf494f687b34c7ad50079ad10de9d4c1e|ece3ecaba0486565e89648d377a2956dbd17c6018e0470cd2899fd39873cc4b6,false,false,investasi_rp_juta|investasi_us_ribu
dffbce64b6762ef48fe143361ce2fc0c84a7a0b2551875f078103e4b2f9c0412,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,62d608143a7bca71437cdef92ad68360809f93da23afd141df303cc75a57ff87,true,false,
e02f4040a895608aab003022c60b927650c970ad75770e44cacaf5212a2b0951,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,ddd4c54dadb0ff5858e9f15d0ac6937d830f75cc21df4f21de8861cdf266b915,true,false,
e161f185a49c4a05881d02110616e8a287ba11e50a40e1f649baef9bd8603861,9,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,5,148aafb56873a061e08a78fe172523d3a605be19ae5960ad9b3ef91f7a2d4275|2b7317d6599daeff03bfe85370186eda0f8102b02c84fb7739b2cf0bb11e52db|31b1840a8bdd014312e914d29897764f7a2c43337b8ffd6d33beb427e40295f2|3aaa9a50ee4beaf7fa4f757eddc382b132ca3e4866ead899cdff2c343cb5ff13|8dbf942eb336723948bf9af549b62f7d4a0560e652eb0727539f05163ff7d32b,false,false,investasi_rp_juta|investasi_us_ribu|tki
e63a9368f41db3a0cbd3b8979fc15e1d266f06890fcd1a52b1d50b99d370f7e6,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,2,761fccd183a9f59190fe57b589f8fb733e5230853338b4a01d619c5c149ef7b5|b5cc997d90f3bface7a4d482dfea905a1fdd3b368c6b1d36c1aa3cafea0b5bd4,false,false,investasi_rp_juta|investasi_us_ribu|tki
e6419b0d45df97b9f81ce2fd9851cb2462b64347ce14032b255e674ddab4c310,2,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,5d887e19094b15646911dde9f9387ea3d39d978a48d9b6241e5f417b21dacf42,true,false,
e66bbcca3eb8292e13f23a6e3b5fc6d1b0b9492a7782e05f7ed46fcce4464fcc,3,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,1,dd0cc133e95450439dfca1bd0e6dc500e6e7d251d8de8632ff633c6a6d2e5ab0,true,false,
e6ae619d9988a40b10e64fc65e662a263a6af4aee37ff847053c8ed9fc3f669c,17,1,data/processed/bkpm/m27_full_history/2024/q1/page-000000.json,4,32b5598afaa88e85118b9059999dcbcaf36e2d7b83339c185415b7c07d6c44fb|5b75f052caddd1d9d0624d89bd926787b8c4ea95a647b9572eb51a24e37ede35|6d6ec13d89faade342aa53b0ba9ee34b91e0de364bc72347eed73830ab8568ea|cdba4135eeb35096fd35a49b0321c6bad5fc934fb3e3937338c30a67f8914674,false,false,investasi_rp_juta|investasi_us_ribu|tki
