panel_observation_id,indicator_id,geography_id,geography_name,bps_province_code,year,reference_period,value_numeric,unit,claim_type,source_series_id,panel_provenance_id,comparability_regime,methodology_version,price_basis,notes
m5obs_477ae78cee7834a4e3198b27,gini_ratio,idn.18,Lampung,18,2024,Maret,0.302,index,observed,m5_gini_march,m5prov_31575ab730cd1c8f44a59a31,bps_current_38_province_2024plus,susenas_gini_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:191:Perkotaan+Perdesaan|turtahun:61:Semester 1 (Maret); source universe=Population represented by the Susenas expenditure-welfare aggregate; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_81189ab7c8ce70a5ec2d98b6,neet_rate,idn.18,Lampung,18,2024,source_annual_period,22.53,percent,observed,m5_neet_source_period,m5prov_5f44d02b5481880e37d26d54,bps_current_38_province_2024plus,sakernas_neet_15_24_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=People age 15 to 24 not in employment education or training under the BPS Sakernas definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_18efee1ff67c9e46ba9edcc4,poverty_rate,idn.18,Lampung,18,2024,Maret,10.69,percent,observed,m5_poverty_march,m5prov_03abc8d1b5e9677c16c7cf31,bps_current_38_province_2024plus,susenas_poverty_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:434:Jumlah|turtahun:61:Semester 1 (Maret); source universe=Population under the official BPS poverty-line methodology; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_1574f146663c081c54de2649,real_grdp_per_capita,idn.18,Lampung,18,2024,Tahun,29.89063,million_rupiah_per_person_constant_2010,derived,m5_real_grdp_pc_adhk2010,m5prov_de3818b738ca6c01659133dd,bps_current_38_province_2024plus,bps_grdp_per_capita_series2010_adhk,constant_2010_prices,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:531:Harga Konstan 2010|turtahun:0:Tahun; source universe=Resident population denominator embedded in the official BPS per-capita statistic; transform=divide_1000; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_282c08c033ab5b7a63bf95ff,underemployment_rate,idn.18,Lampung,18,2024,source_annual_period,9.63,percent,observed,m5_underemployment_source_period,m5prov_5d566b55a746582520c84604,bps_current_38_province_2024plus,sakernas_underemployment_source_period_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=Employed population meeting the BPS underemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_15fa4b45f1328f3abe967582,unemployment_rate,idn.18,Lampung,18,2024,Agustus,4.19,percent,observed,m5_unemployment_august,m5prov_577c6c6aac737a31ac29f70b,bps_current_38_province_2024plus,sakernas_unemployment_august_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:190:Agustus; source universe=Labor force under the official Sakernas open-unemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_0a22ef5cd1c8a2db23a79470,gini_ratio,idn.19,Kepulauan Bangka Belitung,19,2024,Maret,0.244,index,observed,m5_gini_march,m5prov_31575ab730cd1c8f44a59a31,bps_current_38_province_2024plus,susenas_gini_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:191:Perkotaan+Perdesaan|turtahun:61:Semester 1 (Maret); source universe=Population represented by the Susenas expenditure-welfare aggregate; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_eee8715b7d0f6ba69d173cfc,neet_rate,idn.19,Kepulauan Bangka Belitung,19,2024,source_annual_period,21.26,percent,observed,m5_neet_source_period,m5prov_5f44d02b5481880e37d26d54,bps_current_38_province_2024plus,sakernas_neet_15_24_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=People age 15 to 24 not in employment education or training under the BPS Sakernas definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_8fe7c573f117adcb7d849a53,poverty_rate,idn.19,Kepulauan Bangka Belitung,19,2024,Maret,4.55,percent,observed,m5_poverty_march,m5prov_03abc8d1b5e9677c16c7cf31,bps_current_38_province_2024plus,susenas_poverty_march_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:434:Jumlah|turtahun:61:Semester 1 (Maret); source universe=Population under the official BPS poverty-line methodology; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_55c45855bed8e9567508dd1f,real_grdp_per_capita,idn.19,Kepulauan Bangka Belitung,19,2024,Tahun,39.70009,million_rupiah_per_person_constant_2010,derived,m5_real_grdp_pc_adhk2010,m5prov_de3818b738ca6c01659133dd,bps_current_38_province_2024plus,bps_grdp_per_capita_series2010_adhk,constant_2010_prices,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:531:Harga Konstan 2010|turtahun:0:Tahun; source universe=Resident population denominator embedded in the official BPS per-capita statistic; transform=divide_1000; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_95acda474c97f738b0ae387d,underemployment_rate,idn.19,Kepulauan Bangka Belitung,19,2024,source_annual_period,7.41,percent,observed,m5_underemployment_source_period,m5prov_5d566b55a746582520c84604,bps_current_38_province_2024plus,sakernas_underemployment_source_period_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:0:Tahun; source universe=Employed population meeting the BPS underemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
m5obs_20705a3bd83a69d53a62da94,unemployment_rate,idn.19,Kepulauan Bangka Belitung,19,2024,Agustus,4.63,percent,observed,m5_unemployment_august,m5prov_577c6c6aac737a31ac29f70b,bps_current_38_province_2024plus,sakernas_unemployment_august_current38,,BPS national domain 0000; source vertical=38 Provinsi; source selector=turvar:0:Tidak ada|turtahun:190:Agustus; source universe=Labor force under the official Sakernas open-unemployment definition; transform=identity; current-boundary panel begins 2024 to avoid silent pre-DOB Papua harmonization
