regime_id,geography_id,geography_name,target_year,feature_year,lag1_mean_years_schooling,lag1_labor_force_participation,lag1_agriculture_share_grdp,lag1_manufacturing_share_grdp,lag1_rice_yield,lag1_annual_rainfall,poverty_rate,unemployment_rate,real_grdp_growth
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1312,Pasaman Barat,2022,2021,8.27,66.93,39.7493428057,13.765815103,4.74,3718.636822,6.93,6.33,4.13
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1312,Pasaman Barat,2023,2022,8.55,63.88,39.1063901819,13.6248557355,5.019,4331.760164,6.92,6.01,4.33
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1312,Pasaman Barat,2024,2023,8.81,66.42,38.8837089992,13.2257433087,4.882,3782.060938,7,6.34,4.08
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2019,2018,11.33,62.78,5.22053330537,13.1473145034,4.671,3788.53137,4.48,8.74,5.64
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2020,2019,11.34,61.98,5.29611729385,11.7481840231,5.013,2839.940826,4.4,13.64,-1.86
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2021,2020,11.58,64.31,5.41138188673,11.8814425751,4.548,3833.450096,4.94,13.37,3.65
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2022,2021,11.59,63.78,5.2867285583,11.7735714173,5.043,4272.073887,4.26,11.69,4.31
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2023,2022,11.6,62.81,5.12159905345,11.2553174135,5.108,4965.282037,4.17,10.86,4.54
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1371,Padang,2024,2023,11.62,66.99,5.01671563029,10.877566156,5.269,3578.425027,4.06,9.88,4.65
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2019,2018,11.01,64.76,5.61110556249,4.75148575888,5.209,2975.660545,3.24,7.06,5.49
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2020,2019,11.02,62.51,5.44850837362,4.09950387525,5.757,2349.436808,2.77,8.35,-1.42
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2021,2020,11.03,66.77,5.51195603571,4.13757107134,6.467,3004.073527,3.12,5.15,3.55
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2022,2021,11.04,66.51,5.20145739525,4.30557022353,5.872,3274.03972,3.02,3.9,4.6
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2023,2022,11.35,69.46,5.05219412864,4.23527384461,6.466,3916.840246,3.05,3.72,4.81
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1372,Solok,2024,2023,11.36,70.12,4.97625543195,4.16706738609,6.299,2938.237223,3.07,3.62,4.55
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1373,Sawahlunto,2019,2018,9.94,72.88,9.16449650195,12.215161071,4.766,2776.417149,2.17,6.84,5.31
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1373,Sawahlunto,2020,2019,9.97,69.83,8.84262892635,10.6611004945,4.699,2334.179498,2.16,8.2,-1.27
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1373,Sawahlunto,2021,2020,10.17,70.57,8.92235972458,10.8159548947,4.291,2803.900303,2.38,6.38,2.48
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1373,Sawahlunto,2022,2021,10.32,68.05,8.96259807303,11.2203973911,5.417,3005.110378,2.28,5,3.96
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1373,Sawahlunto,2023,2022,10.43,70.85,8.72704798217,10.8027058333,6.261,3756.138973,2.27,4.98,4.46
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1373,Sawahlunto,2024,2023,10.44,69.9,8.51100910525,10.8695283195,6.329,2942.35941,2.33,5.55,4.02
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1374,Padang Panjang,2019,2018,11.44,66.17,5.15922045282,9.49708514172,4.696,2757.616151,5.6,4.38,5.56
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1374,Padang Panjang,2020,2019,11.45,69.05,5.04615380542,8.40819456442,5.509,2157.335339,5.24,7.22,-1.44
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1374,Padang Panjang,2021,2020,11.62,69.81,5.14890469765,8.43330509104,5.767,2811.671422,5.92,4.9,3.46
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1374,Padang Panjang,2022,2021,11.63,65.94,5.12015768145,8.47643985628,6.291,3026.15477,5.14,4.84,4.39
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1374,Padang Panjang,2023,2022,11.92,64.02,5.13636564629,8.3140312549,7.001,3651.476589,5.24,5.49,4.84
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1374,Padang Panjang,2024,2023,11.94,66.05,5.0754560829,8.33889458264,6.397,2824.530171,5.31,4.94,4.52
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1375,Bukittinggi,2019,2018,11.31,69.15,1.20300916108,5.65683275037,5.863,2342.492157,4.6,6.2,5.84
sumbar_current_kabkota_lagged_structural_2019_2024_v1,idn.13.1375,Bukittinggi,2020,2019,11.32,65.55,1.14440743751,5.02825462959,6.541,1779.855058,4.54,7.51,-1.74
