target_id,outer_holdout_geography_id,model_variant,selected_penalty,parameter_type,parameter_id,coefficient
poverty_rate,idn.13.1376,primary,100,intercept,intercept_base_2019,6.31890932491
poverty_rate,idn.13.1376,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.51413329912
poverty_rate,idn.13.1376,primary,100,standardized_continuous_feature,labor_force_participation,0.333375059244
poverty_rate,idn.13.1376,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.209697943362
poverty_rate,idn.13.1376,primary,100,standardized_continuous_feature,mean_years_schooling,-0.352190503087
poverty_rate,idn.13.1376,primary,100,standardized_continuous_feature,rice_yield,-0.509931895196
poverty_rate,idn.13.1376,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1376,primary,100,target_year_effect,2020,-0.148095402046
poverty_rate,idn.13.1376,primary,100,target_year_effect,2021,0.101735284157
poverty_rate,idn.13.1376,primary,100,target_year_effect,2022,-0.291959575385
poverty_rate,idn.13.1376,primary,100,target_year_effect,2023,-0.237339098631
poverty_rate,idn.13.1376,primary,100,target_year_effect,2024,-0.262241601971
poverty_rate,idn.13.1377,primary,100,intercept,intercept_base_2019,6.36670813035
poverty_rate,idn.13.1377,primary,100,standardized_continuous_feature,agriculture_share_grdp,0.500808471013
poverty_rate,idn.13.1377,primary,100,standardized_continuous_feature,labor_force_participation,0.325485423536
poverty_rate,idn.13.1377,primary,100,standardized_continuous_feature,manufacturing_share_grdp,-0.22143068873
poverty_rate,idn.13.1377,primary,100,standardized_continuous_feature,mean_years_schooling,-0.323411304247
poverty_rate,idn.13.1377,primary,100,standardized_continuous_feature,rice_yield,-0.522452703321
poverty_rate,idn.13.1377,primary,100,target_year_effect,2019,0
poverty_rate,idn.13.1377,primary,100,target_year_effect,2020,-0.121088934379
poverty_rate,idn.13.1377,primary,100,target_year_effect,2021,0.149176950456
poverty_rate,idn.13.1377,primary,100,target_year_effect,2022,-0.267872125623
poverty_rate,idn.13.1377,primary,100,target_year_effect,2023,-0.202553706404
poverty_rate,idn.13.1377,primary,100,target_year_effect,2024,-0.240688743932
unemployment_rate,idn.13.1301,primary,100,intercept,intercept_base_2019,5.08327714892
unemployment_rate,idn.13.1301,primary,100,standardized_continuous_feature,agriculture_share_grdp,-0.213670317728
unemployment_rate,idn.13.1301,primary,100,standardized_continuous_feature,labor_force_participation,-0.39016109
unemployment_rate,idn.13.1301,primary,100,standardized_continuous_feature,manufacturing_share_grdp,0.310826755525
unemployment_rate,idn.13.1301,primary,100,standardized_continuous_feature,mean_years_schooling,0.213889390619
unemployment_rate,idn.13.1301,primary,100,standardized_continuous_feature,rice_yield,-0.123095787701
unemployment_rate,idn.13.1301,primary,100,target_year_effect,2019,0
unemployment_rate,idn.13.1301,primary,100,target_year_effect,2020,1.29689671718
unemployment_rate,idn.13.1301,primary,100,target_year_effect,2021,0.663721714693
unemployment_rate,idn.13.1301,primary,100,target_year_effect,2022,0.288976974239
unemployment_rate,idn.13.1301,primary,100,target_year_effect,2023,0.356276397711
unemployment_rate,idn.13.1301,primary,100,target_year_effect,2024,0.248354191526
