target_id,geography_id,target_year,feature_year,feature_id,focal_value,same_year_training_min,same_year_training_max,inside_same_year_marginal_minmax
poverty_rate,idn.13.1307,2024,2023,manufacturing_share_grdp,10.2347427827,2.45236049116,13.2257433087,true
poverty_rate,idn.13.1307,2024,2023,rice_yield,4.873,2.473,6.397,true
poverty_rate,idn.13.1308,2019,2018,mean_years_schooling,7.97,6.95,11.44,true
poverty_rate,idn.13.1308,2019,2018,labor_force_participation,73.1,62.78,75,true
poverty_rate,idn.13.1308,2019,2018,agriculture_share_grdp,34.7331581818,1.20300916108,49.4719795015,true
poverty_rate,idn.13.1308,2019,2018,manufacturing_share_grdp,6.9035952574,2.68051558212,14.8096558871,true
poverty_rate,idn.13.1308,2019,2018,rice_yield,4.307,2.635,5.863,true
poverty_rate,idn.13.1308,2020,2019,mean_years_schooling,7.98,7.08,11.45,true
poverty_rate,idn.13.1308,2020,2019,labor_force_participation,73.28,61.98,83.1,true
poverty_rate,idn.13.1308,2020,2019,agriculture_share_grdp,33.4850227858,1.14440743751,47.9219347696,true
poverty_rate,idn.13.1308,2020,2019,manufacturing_share_grdp,6.2288955878,2.33201438797,13.0743610773,true
poverty_rate,idn.13.1308,2020,2019,rice_yield,4.149,2.517,6.541,true
poverty_rate,idn.13.1308,2021,2020,mean_years_schooling,7.99,7.09,11.62,true
poverty_rate,idn.13.1308,2021,2020,labor_force_participation,72.71,64.16,81.65,true
poverty_rate,idn.13.1308,2021,2020,agriculture_share_grdp,33.2161569837,1.17543884765,48.6502573418,true
poverty_rate,idn.13.1308,2021,2020,manufacturing_share_grdp,6.35654433534,2.42455143813,13.2895862346,true
poverty_rate,idn.13.1308,2021,2020,rice_yield,4.36,2.471,6.467,true
poverty_rate,idn.13.1308,2022,2021,mean_years_schooling,8.07,7.2,11.63,true
poverty_rate,idn.13.1308,2022,2021,labor_force_participation,71.33,62.7,82.57,true
poverty_rate,idn.13.1308,2022,2021,agriculture_share_grdp,32.189296735,1.15532458751,48.8645358781,true
poverty_rate,idn.13.1308,2022,2021,manufacturing_share_grdp,6.49243274516,2.57248004994,13.765815103,true
poverty_rate,idn.13.1308,2022,2021,rice_yield,4.399,2.497,6.932,true
poverty_rate,idn.13.1308,2023,2022,mean_years_schooling,8.08,7.48,11.92,true
poverty_rate,idn.13.1308,2023,2022,labor_force_participation,74.54,62.81,78.25,true
poverty_rate,idn.13.1308,2023,2022,agriculture_share_grdp,31.4438979282,1.09876323204,48.0176761546,true
poverty_rate,idn.13.1308,2023,2022,manufacturing_share_grdp,6.47332439048,2.48115099295,13.6248557355,true
poverty_rate,idn.13.1308,2023,2022,rice_yield,4.646,2.298,7.001,true
poverty_rate,idn.13.1308,2024,2023,mean_years_schooling,8.12,7.76,11.94,true
poverty_rate,idn.13.1308,2024,2023,labor_force_participation,72.63,65,80.07,true
poverty_rate,idn.13.1308,2024,2023,agriculture_share_grdp,31.0801976726,1.05966279992,48.4488181812,true
poverty_rate,idn.13.1308,2024,2023,manufacturing_share_grdp,6.51104107248,2.45236049116,13.2257433087,true
poverty_rate,idn.13.1308,2024,2023,rice_yield,4.813,2.473,6.397,true
poverty_rate,idn.13.1309,2019,2018,mean_years_schooling,7.66,6.95,11.44,true
poverty_rate,idn.13.1309,2019,2018,labor_force_participation,67.2,62.78,75,true
poverty_rate,idn.13.1309,2019,2018,agriculture_share_grdp,49.4719795015,1.20300916108,47.604076021,false
poverty_rate,idn.13.1309,2019,2018,manufacturing_share_grdp,4.24586817069,2.68051558212,14.8096558871,true
poverty_rate,idn.13.1309,2019,2018,rice_yield,4.263,2.635,5.863,true
poverty_rate,idn.13.1309,2020,2019,mean_years_schooling,7.86,7.08,11.45,true
poverty_rate,idn.13.1309,2020,2019,labor_force_participation,70.91,61.98,83.1,true
poverty_rate,idn.13.1309,2020,2019,agriculture_share_grdp,47.9219347696,1.14440743751,46.4839281901,false
poverty_rate,idn.13.1309,2020,2019,manufacturing_share_grdp,3.92314292856,2.33201438797,13.0743610773,true
poverty_rate,idn.13.1309,2020,2019,rice_yield,4.362,2.517,6.541,true
poverty_rate,idn.13.1309,2021,2020,mean_years_schooling,8.09,7.09,11.62,true
poverty_rate,idn.13.1309,2021,2020,labor_force_participation,72.97,64.16,81.65,true
poverty_rate,idn.13.1309,2021,2020,agriculture_share_grdp,47.9576882233,1.17543884765,48.6502573418,true
poverty_rate,idn.13.1309,2021,2020,manufacturing_share_grdp,3.84803701017,2.42455143813,13.2895862346,true
poverty_rate,idn.13.1309,2021,2020,rice_yield,4.5,2.471,6.467,true
poverty_rate,idn.13.1309,2022,2021,mean_years_schooling,8.1,7.2,11.63,true
poverty_rate,idn.13.1309,2022,2021,labor_force_participation,69.35,62.7,82.57,true
poverty_rate,idn.13.1309,2022,2021,agriculture_share_grdp,47.0280922451,1.15532458751,48.8645358781,true
poverty_rate,idn.13.1309,2022,2021,manufacturing_share_grdp,3.97562426235,2.57248004994,13.765815103,true
poverty_rate,idn.13.1309,2022,2021,rice_yield,4.593,2.497,6.932,true
poverty_rate,idn.13.1309,2023,2022,mean_years_schooling,8.11,7.48,11.92,true
poverty_rate,idn.13.1309,2023,2022,labor_force_participation,74.97,62.81,78.25,true
poverty_rate,idn.13.1309,2023,2022,agriculture_share_grdp,46.3772853861,1.09876323204,48.0176761546,true
poverty_rate,idn.13.1309,2023,2022,manufacturing_share_grdp,3.9294850946,2.48115099295,13.6248557355,true
poverty_rate,idn.13.1309,2023,2022,rice_yield,4.884,2.298,7.001,true
poverty_rate,idn.13.1309,2024,2023,mean_years_schooling,8.13,7.76,11.94,true
poverty_rate,idn.13.1309,2024,2023,labor_force_participation,73.05,65,80.07,true
poverty_rate,idn.13.1309,2024,2023,agriculture_share_grdp,46.049783054,1.05966279992,48.4488181812,true
poverty_rate,idn.13.1309,2024,2023,manufacturing_share_grdp,3.83899633206,2.45236049116,13.2257433087,true
poverty_rate,idn.13.1309,2024,2023,rice_yield,4.659,2.473,6.397,true
poverty_rate,idn.13.1310,2019,2018,mean_years_schooling,8.15,6.95,11.44,true
poverty_rate,idn.13.1310,2019,2018,labor_force_participation,74.89,62.78,75,true
poverty_rate,idn.13.1310,2019,2018,agriculture_share_grdp,34.3172131198,1.20300916108,49.4719795015,true
poverty_rate,idn.13.1310,2019,2018,manufacturing_share_grdp,5.20913776823,2.68051558212,14.8096558871,true
poverty_rate,idn.13.1310,2019,2018,rice_yield,4.249,2.635,5.863,true
poverty_rate,idn.13.1310,2020,2019,mean_years_schooling,8.16,7.08,11.45,true
poverty_rate,idn.13.1310,2020,2019,labor_force_participation,72.56,61.98,83.1,true
poverty_rate,idn.13.1310,2020,2019,agriculture_share_grdp,29.2310408596,1.14440743751,47.9219347696,true
poverty_rate,idn.13.1310,2020,2019,manufacturing_share_grdp,4.21292485737,2.33201438797,13.0743610773,true
poverty_rate,idn.13.1310,2020,2019,rice_yield,4.233,2.517,6.541,true
poverty_rate,idn.13.1310,2021,2020,mean_years_schooling,8.28,7.09,11.62,true
poverty_rate,idn.13.1310,2021,2020,labor_force_participation,72.67,64.16,81.65,true
poverty_rate,idn.13.1310,2021,2020,agriculture_share_grdp,28.8040743856,1.17543884765,48.6502573418,true
poverty_rate,idn.13.1310,2021,2020,manufacturing_share_grdp,4.2979319544,2.42455143813,13.2895862346,true
poverty_rate,idn.13.1310,2021,2020,rice_yield,3.554,2.471,6.467,true
poverty_rate,idn.13.1310,2022,2021,mean_years_schooling,8.32,7.2,11.63,true
poverty_rate,idn.13.1310,2022,2021,labor_force_participation,72.11,62.7,82.57,true
poverty_rate,idn.13.1310,2022,2021,agriculture_share_grdp,28.4172172323,1.15532458751,48.8645358781,true
poverty_rate,idn.13.1310,2022,2021,manufacturing_share_grdp,4.40301214512,2.57248004994,13.765815103,true
