target_id,dimension_id,geography_id,geography_name,target_year,feature_year,expected_gap_rmse_units,favorable_peer_gap_rmse_units,m11_support_warning,gap_interpretation_authorized,expected_interval_classification,lag1_expected_years_schooling,lag1_life_expectancy,lag1_underemployment_rate,lag1_annual_rainfall
unemployment_rate,labor_market,idn.13.1301,Kepulauan Mentawai,2021,2020,-0.418539941908,0.627933679201,true,false,within_expected_interval,12.82,70.73,20.72,3626.960488
unemployment_rate,labor_market,idn.13.1301,Kepulauan Mentawai,2022,2021,-0.968965209782,0.0775084113283,true,false,within_expected_interval,12.89,70.73,21.96,3704.889656
unemployment_rate,labor_market,idn.13.1301,Kepulauan Mentawai,2023,2022,-1.37776515501,-0.331291533898,true,false,materially_more_favorable_than_expected,12.89,70.91,21.67,3782.009938
unemployment_rate,labor_market,idn.13.1301,Kepulauan Mentawai,2024,2023,-1.13129425923,-0.0848206381191,true,false,within_expected_interval,12.9,71.06,19.5,2625.301919
unemployment_rate,labor_market,idn.13.1302,Pesisir Selatan,2021,2020,0.200923565912,1.32228909986,false,true,within_expected_interval,13.32,73.02,14.28,3086.659964
unemployment_rate,labor_market,idn.13.1302,Pesisir Selatan,2022,2021,-0.296938735073,0.82442679888,false,true,within_expected_interval,13.33,73.12,10.02,3436.715819
unemployment_rate,labor_market,idn.13.1302,Pesisir Selatan,2023,2022,-0.177664520306,0.943701013646,false,true,within_expected_interval,13.35,73.2,11.58,3619.80713
unemployment_rate,labor_market,idn.13.1302,Pesisir Selatan,2024,2023,-0.0813741008863,1.03999143307,true,false,within_expected_interval,13.36,73.27,14.04,2705.082515
unemployment_rate,labor_market,idn.13.1303,Solok,2021,2020,0.145744648759,1.26711018271,false,true,within_expected_interval,13.04,71.51,12.76,2824.854401
unemployment_rate,labor_market,idn.13.1303,Solok,2022,2021,0.947308552748,2.0686740867,false,true,within_expected_interval,13.05,71.72,8.19,3100.123998
unemployment_rate,labor_market,idn.13.1303,Solok,2023,2022,0.611332101562,1.73269763551,false,true,within_expected_interval,13.3,72.12,8.16,3648.037132
