series_id,indicator_id,bps_var_id,year,period_available,period_id,selected_turvar_id,selected_turvar_label,selected_turth_id,selected_turth_label,stable32_required_count,vertical_dimension,source_title,source_unit,source_last_update,selected_row_count_all_geographies,stable32_selected_count,missing_stable32_codes,duplicate_stable32_codes,selected_excluded_current_codes,nonfinite_stable32_value_count,expected_source_unit_match,exact_selector_labels_match,probe_pass,hold_reasons,normalizer_observed_values,semantic_sha256
m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2021,True,121,531,Harga Konstan 2010,0,Tahun,32,38 Provinsi,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,2026-02-19 10:24:55,35,32,,,9100|9400,0,True,True,True,,70,d123a87bf06ad0aa74ffbb253f22da24e23877fa683922b7207de573b9f20964
m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2022,True,122,531,Harga Konstan 2010,0,Tahun,32,38 Provinsi,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,2026-02-19 10:24:55,35,32,,,9100|9400,0,True,True,True,,70,23db17c6cb968146880d639773ccdbe9627c331969f6cdd87b07a0d458a6a9d6
m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2023,True,123,531,Harga Konstan 2010,0,Tahun,32,38 Provinsi,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,2026-02-19 10:24:55,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,78,8b3124f1cb1c1ac67131511bf8395c8d6145550df778686835c0825a03401cc2
m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2024,True,124,531,Harga Konstan 2010,0,Tahun,32,38 Provinsi,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,2026-02-19 10:24:55,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,78,2c26aed4f878076d94a95b2a0963836cad866b27465accdcdd022506bc273375
m5_real_grdp_pc_adhk2010,real_grdp_per_capita,288,2025,True,125,531,Harga Konstan 2010,0,Tahun,32,38 Provinsi,[Seri 2010] Produk Domestik Regional Bruto Per Kapita,Ribu Rupiah,2026-02-19 10:24:55,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,78,69025b7866a4b435cef9bcc2ef81374258eb81db8a0ae89eb8a062dd5ea1565b
m5_neet_source_period,neet_rate,1186,2018,True,118,0,Tidak ada,0,Tahun,32,38 Provinsi,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,2026-02-24 13:59:30,35,32,,,9100|9400,0,True,True,True,,35,5e815f0de10a35273a704d90b423b2c42f82e04fe5c97f6b0a9f2e7e9bc394c7
m5_neet_source_period,neet_rate,1186,2019,True,119,0,Tidak ada,0,Tahun,32,38 Provinsi,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,2026-02-24 13:59:30,35,32,,,9100|9400,0,True,True,True,,35,23970815d7161f9bfca5b3b5ab36492a9faee6c5c3efea250b6ee78b934a95da
m5_neet_source_period,neet_rate,1186,2020,True,120,0,Tidak ada,0,Tahun,32,38 Provinsi,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,2026-02-24 13:59:30,35,32,,,9100|9400,0,True,True,True,,35,7fa0eab4c16c3a2299fa04f16779e24df546dbbaf5a7694e9b82e40b8e2048a5
m5_neet_source_period,neet_rate,1186,2021,True,121,0,Tidak ada,0,Tahun,32,38 Provinsi,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,2026-02-24 13:59:30,35,32,,,9100|9400,0,True,True,True,,35,dcb8ec5c39ff1fb8b5e5038e849bd02f7a913b8681ce2845b2dc6c27c5d8ad0a
m5_neet_source_period,neet_rate,1186,2022,True,122,0,Tidak ada,0,Tahun,32,38 Provinsi,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,2026-02-24 13:59:30,35,32,,,9100|9400,0,True,True,True,,35,8ad0ffaaac91593333b76d5fd4eed93fd20fe58810dc11ebccc5f38374965aab
m5_neet_source_period,neet_rate,1186,2023,True,123,0,Tidak ada,0,Tahun,32,38 Provinsi,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,2026-02-24 13:59:30,35,32,,,9100|9400,0,True,True,True,,35,7b7a8715eed541662574ae7ca4119f696f2955f7917a6f4a36d48ad56c413e85
m5_neet_source_period,neet_rate,1186,2024,True,124,0,Tidak ada,0,Tahun,32,38 Provinsi,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,2026-02-24 13:59:30,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,39,68de653010cc9fbe7b90884512820c530d7b7f9da422fd938a547010bb2d0b6b
m5_neet_source_period,neet_rate,1186,2025,True,125,0,Tidak ada,0,Tahun,32,38 Provinsi,"Persentase Usia Muda (15-24 Tahun) Yang Sedang Tidak Sekolah, Bekerja Atau Mengikuti Pelatihan",Persen,2026-02-24 13:59:30,39,32,,,9100|9200|9400|9500|9600|9700,0,True,True,True,,39,8d676d28533e079008f8003a33c38d972dd13960e66e5f5e0d4be2fed1c8e1e9
