year,geography_id,geography_name,irbi_hazard_id,irbi_source_hazard_label,risk_score,risk_class,krb_hazard_id,krb_source_hazard_label,mitigation_action_count,recommendation_action_detail_status,bridge_status,claim_type,numeric_value_equivalence_authorized,event_taxonomy_join_authorized,prediction_claim_authorized
2024,idn.13.1375,Bukittinggi,extreme_weather,Cuaca Ekstrim,13.60,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1376,Payakumbuh,extreme_weather,Cuaca Ekstrim,13.60,tinggi,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1377,Pariaman,extreme_weather,Cuaca Ekstrim,10.01,sedang,extreme_weather,CUACA EKSTRIM,6,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1301,Kepulauan Mentawai,flood,Banjir,29.60,tinggi,flood,BANJIR,7,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1302,Pesisir Selatan,flood,Banjir,22.41,tinggi,flood,BANJIR,7,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1306,Padang Pariaman,flood,Banjir,23.87,tinggi,flood,BANJIR,7,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1307,Agam,flood,Banjir,35.33,tinggi,flood,BANJIR,7,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1309,Pasaman,flood,Banjir,36.00,tinggi,flood,BANJIR,7,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1311,Dharmasraya,flood,Banjir,29.97,tinggi,flood,BANJIR,7,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1312,Pasaman Barat,flood,Banjir,29.89,tinggi,flood,BANJIR,7,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1371,Padang,flood,Banjir,22.41,tinggi,flood,BANJIR,7,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1377,Pariaman,flood,Banjir,24.73,tinggi,flood,BANJIR,7,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1301,Kepulauan Mentawai,forest_and_land_fire,Kebakaran Hutan dan Lahan,19.73,tinggi,forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,4,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1302,Pesisir Selatan,forest_and_land_fire,Kebakaran Hutan dan Lahan,14.94,tinggi,forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,4,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1303,Solok,forest_and_land_fire,Kebakaran Hutan dan Lahan,36.00,tinggi,forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,4,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1304,Sijunjung,forest_and_land_fire,Kebakaran Hutan dan Lahan,35.48,tinggi,forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,4,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1305,Tanah Datar,forest_and_land_fire,Kebakaran Hutan dan Lahan,36.00,tinggi,forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,4,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1306,Padang Pariaman,forest_and_land_fire,Kebakaran Hutan dan Lahan,23.87,tinggi,forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,4,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
2024,idn.13.1307,Agam,forest_and_land_fire,Kebakaran Hutan dan Lahan,35.33,tinggi,forest_and_land_fire,KEBAKARAN HUTAN DAN LAHAN,4,flat_actions_materialized,authorized_lookup_bridge,official_risk_index_with_recommendation_lookup,false,false,false
