target_id,geography_id,target_year,k_neighbors,favorable_neighbor_count,favorable_neighbor_ids,favorable_neighbor_outcomes,favorable_neighbor_distances,favorable_reference,distance_to_favorable_reference,difference_vs_locked_k6_reference,sensitivity_can_replace_locked_k6
poverty_rate,idn.13.1312,2024,7,2,idn.13.1373|idn.13.1371,2.33|4.06,3.09550805946|3.23421214782,3.195,3.805,-0.11,false
poverty_rate,idn.13.1371,2019,5,2,idn.13.1372|idn.13.1377,3.24|4.76,2.78936311989|2.55097356601,4,0.48,1.295,false
poverty_rate,idn.13.1371,2019,7,2,idn.13.1373|idn.13.1372,2.17|3.24,3.53458869062|2.78936311989,2.705,1.775,0,false
poverty_rate,idn.13.1371,2020,5,2,idn.13.1373|idn.13.1372,2.16|2.77,2.15904823417|2.70382346986,2.465,1.935,0,false
poverty_rate,idn.13.1371,2020,7,2,idn.13.1373|idn.13.1372,2.16|2.77,2.15904823417|2.70382346986,2.465,1.935,0,false
poverty_rate,idn.13.1371,2021,5,2,idn.13.1373|idn.13.1377,2.38|4.38,1.97453189996|2.01419645131,3.38,1.56,0,false
poverty_rate,idn.13.1371,2021,7,2,idn.13.1373|idn.13.1377,2.38|4.38,1.97453189996|2.01419645131,3.38,1.56,0,false
poverty_rate,idn.13.1371,2022,5,2,idn.13.1373|idn.13.1372,2.28|3.02,1.44822146395|2.57502850869,2.65,1.61,0,false
poverty_rate,idn.13.1371,2022,7,2,idn.13.1373|idn.13.1372,2.28|3.02,1.44822146395|2.57502850869,2.65,1.61,0,false
poverty_rate,idn.13.1371,2023,5,2,idn.13.1373|idn.13.1375,2.27|4.11,2.35032474356|2.5019564904,3.19,0.98,0.53,false
poverty_rate,idn.13.1371,2023,7,2,idn.13.1373|idn.13.1372,2.27|3.05,2.35032474356|3.01881793791,2.66,1.51,0,false
poverty_rate,idn.13.1371,2024,5,2,idn.13.1373|idn.13.1375,2.33|4.08,1.59724472018|2.35642104782,3.205,0.855,0,false
poverty_rate,idn.13.1371,2024,7,2,idn.13.1373|idn.13.1372,2.33|3.07,1.59724472018|2.55116525105,2.7,1.36,-0.505,false
poverty_rate,idn.13.1372,2019,5,2,idn.13.1371|idn.13.1375,4.48|4.6,2.65077169216|1.76182928928,4.54,-1.3,0,false
poverty_rate,idn.13.1372,2019,7,2,idn.13.1371|idn.13.1375,4.48|4.6,2.65077169216|1.76182928928,4.54,-1.3,0,false
poverty_rate,idn.13.1372,2020,5,2,idn.13.1377|idn.13.1371,4.1|4.4,2.06845143693|2.58991281875,4.25,-1.48,1.12,false
poverty_rate,idn.13.1372,2020,7,2,idn.13.1373|idn.13.1377,2.16|4.1,3.05176397405|2.06845143693,3.13,-0.36,0,false
poverty_rate,idn.13.1372,2021,5,2,idn.13.1377|idn.13.1375,4.38|5.14,2.44733151096|1.0209334049,4.76,-1.64,0.3,false
poverty_rate,idn.13.1372,2021,7,2,idn.13.1377|idn.13.1305,4.38|4.54,2.44733151096|3.46821146942,4.46,-1.34,0,false
poverty_rate,idn.13.1372,2022,5,2,idn.13.1373|idn.13.1377,2.28|4.13,2.22248318438|1.95724961486,3.205,-0.185,0,false
poverty_rate,idn.13.1372,2022,7,2,idn.13.1373|idn.13.1377,2.28|4.13,2.22248318438|1.95724961486,3.205,-0.185,0,false
poverty_rate,idn.13.1372,2023,5,2,idn.13.1373|idn.13.1375,2.27|4.11,2.17972740725|1.17291352875,3.19,-0.14,0,false
poverty_rate,idn.13.1372,2023,7,2,idn.13.1373|idn.13.1375,2.27|4.11,2.17972740725|1.17291352875,3.19,-0.14,0,false
poverty_rate,idn.13.1372,2024,5,2,idn.13.1373|idn.13.1375,2.33|4.08,2.24145785651|0.440244108203,3.205,-0.135,0.01,false
poverty_rate,idn.13.1372,2024,7,2,idn.13.1373|idn.13.1371,2.33|4.06,2.24145785651|2.52536604852,3.195,-0.125,0,false
poverty_rate,idn.13.1373,2019,5,2,idn.13.1305|idn.13.1377,4.66|4.76,2.26973768343|2.45500906791,4.71,-2.54,0,false
poverty_rate,idn.13.1373,2019,7,2,idn.13.1305|idn.13.1377,4.66|4.76,2.26973768343|2.45500906791,4.71,-2.54,0,false
poverty_rate,idn.13.1373,2020,5,2,idn.13.1377|idn.13.1371,4.1|4.4,1.77712516914|2.01523973515,4.25,-2.09,0,false
poverty_rate,idn.13.1373,2020,7,2,idn.13.1377|idn.13.1305,4.1|4.4,1.77712516914|2.05564257991,4.25,-2.09,0,false
poverty_rate,idn.13.1373,2021,5,2,idn.13.1371|idn.13.1374,4.94|5.92,1.86110205049|2.09745594279,5.43,-3.05,0.69,false
poverty_rate,idn.13.1373,2021,7,2,idn.13.1377|idn.13.1305,4.38|4.54,2.21223459177|2.15583151826,4.46,-2.08,-0.28,false
poverty_rate,idn.13.1373,2022,5,2,idn.13.1377|idn.13.1305,4.13|4.26,2.01607142803|1.82311820635,4.195,-1.915,0,false
poverty_rate,idn.13.1373,2022,7,2,idn.13.1372|idn.13.1377,3.02|4.13,2.25782566062|2.01607142803,3.575,-1.295,-0.62,false
poverty_rate,idn.13.1373,2023,5,2,idn.13.1305|idn.13.1377,4.16|4.2,1.85323048507|1.85258799535,4.18,-1.91,0,false
poverty_rate,idn.13.1373,2023,7,2,idn.13.1372|idn.13.1305,3.05|4.16,2.20809617286|1.85323048507,3.605,-1.335,-0.575,false
poverty_rate,idn.13.1373,2024,5,2,idn.13.1371|idn.13.1375,4.06|4.08,1.60630284666|2.14608524596,4.07,-1.74,0.505,false
poverty_rate,idn.13.1373,2024,7,2,idn.13.1372|idn.13.1371,3.07|4.06,2.28225064942|1.60630284666,3.565,-1.235,0,false
poverty_rate,idn.13.1374,2019,5,2,idn.13.1372|idn.13.1371,3.24|4.48,1.64961865829|1.47503144167,3.86,1.74,1.155,false
poverty_rate,idn.13.1374,2019,7,2,idn.13.1373|idn.13.1372,2.17|3.24,2.46034043294|1.64961865829,2.705,2.895,0,false
