year,irbi_hazard_id,source_hazard_label,source_rank,source_geography_name,score,risk_class,source_page,source_url
2024,forest_and_land_fire,Kebakaran Hutan dan Lahan,445,PESISIR SELATAN,14.94,TINGGI,273,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page273.html
2024,landslide,Tanah Longsor,5,PASAMAN,36.00,TINGGI,278,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page278.html
2024,landslide,Tanah Longsor,51,SOLOK,24.00,TINGGI,279,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page279.html
2024,landslide,Tanah Longsor,52,LIMA PULUH KOTA,24.00,TINGGI,279,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page279.html
2024,landslide,Tanah Longsor,53,KOTA BUKITTINGGI,24.00,TINGGI,279,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page279.html
2024,landslide,Tanah Longsor,134,PASAMAN BARAT,19.93,TINGGI,282,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page282.html
2024,landslide,Tanah Longsor,139,KEPULAUAN MENTAWAI,19.73,TINGGI,282,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page282.html
2024,landslide,Tanah Longsor,148,SOLOK SELATAN,18.83,TINGGI,282,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page282.html
2024,landslide,Tanah Longsor,159,KOTA SAWAHLUNTO,18.01,TINGGI,282,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page282.html
2024,landslide,Tanah Longsor,226,PESISIR SELATAN,14.94,SEDANG,284,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page284.html
2024,landslide,Tanah Longsor,227,KOTA PADANG,14.94,SEDANG,284,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page284.html
2024,landslide,Tanah Longsor,276,TANAH DATAR,12.00,SEDANG,286,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page286.html
2024,landslide,Tanah Longsor,277,KOTA PADANG PANJANG,12.00,SEDANG,286,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page286.html
2024,landslide,Tanah Longsor,311,SIJUNJUNG,11.83,SEDANG,287,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page287.html
2024,landslide,Tanah Longsor,313,AGAM,11.78,SEDANG,287,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page287.html
2024,landslide,Tanah Longsor,318,KOTA PAYAKUMBUH,11.60,SEDANG,287,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page287.html
2024,landslide,Tanah Longsor,346,KOTA SOLOK,10.73,SEDANG,288,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page288.html
2024,landslide,Tanah Longsor,365,DHARMASRAYA,9.99,SEDANG,288,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page288.html
2024,landslide,Tanah Longsor,404,KOTA PARIAMAN,8.24,SEDANG,289,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page289.html
2024,landslide,Tanah Longsor,413,PADANG PARIAMAN,7.96,SEDANG,290,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page290.html
2024,tsunami,Tsunami,25,AGAM,23.55,TINGGI,244,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page244.html
2024,tsunami,Tsunami,44,PASAMAN BARAT,19.93,TINGGI,245,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page245.html
2024,tsunami,Tsunami,62,KOTA PARIAMAN,17.66,TINGGI,245,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page245.html
2024,tsunami,Tsunami,82,PADANG PARIAMAN,15.91,TINGGI,246,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page246.html
2024,tsunami,Tsunami,83,KEPULAUAN MENTAWAI,15.78,TINGGI,246,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page246.html
2024,tsunami,Tsunami,93,PESISIR SELATAN,14.94,TINGGI,246,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page246.html
2024,tsunami,Tsunami,94,KOTA PADANG,14.94,TINGGI,246,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page246.html
2024,volcanic_eruption,Letusan Gunung Api,48,SOLOK,7.20,SEDANG,255,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page255.html
2024,volcanic_eruption,Letusan Gunung Api,49,TANAH DATAR,7.20,SEDANG,255,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page255.html
2024,volcanic_eruption,Letusan Gunung Api,50,KOTA PADANG PANJANG,7.20,SEDANG,255,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page255.html
2024,volcanic_eruption,Letusan Gunung Api,54,AGAM,7.07,SEDANG,255,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page255.html
2024,volcanic_eruption,Letusan Gunung Api,63,KOTA SOLOK,6.44,SEDANG,255,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page255.html
2024,volcanic_eruption,Letusan Gunung Api,70,SOLOK SELATAN,5.65,SEDANG,256,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page256.html
2024,volcanic_eruption,Letusan Gunung Api,76,PADANG PARIAMAN,4.77,RENDAH,256,https://inarisk.bnpb.go.id/IRBI-2024/files/basic-html/page256.html
