observation_id,indicator_id,geography_id,time_start,time_end,frequency,value_numeric,unit,claim_type,provenance_id,suppressed,comparable,methodology_version,price_basis,notes
bnpbtotalobs_884a6502e10a01caa4f1b96b,total_disaster_events,idn.13.1303,2013-01-01,2013-12-31,annual,3,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_e8c169fcd243dbd05fb5d7fa,total_disaster_events,idn.13.1303,2014-01-01,2014-12-31,annual,3,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_0c29527b1d4498a442abd907,total_disaster_events,idn.13.1303,2015-01-01,2015-12-31,annual,3,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_a04bb6ea239be9acf2b9c6eb,total_disaster_events,idn.13.1303,2016-01-01,2016-12-31,annual,6,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_ed5c195ba5a6bf7e8f3c47e0,total_disaster_events,idn.13.1303,2017-01-01,2017-12-31,annual,4,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_34083f0c081b02244880d593,total_disaster_events,idn.13.1303,2018-01-01,2018-12-31,annual,5,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_2ef9f94f7cff82242ea4f594,total_disaster_events,idn.13.1303,2019-01-01,2019-12-31,annual,2,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_cdc5261704b509379d3f178f,total_disaster_events,idn.13.1303,2020-01-01,2020-12-31,annual,14,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_3a1199661e0695c7449e4f59,total_disaster_events,idn.13.1303,2021-01-01,2021-12-31,annual,12,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
bnpbtotalobs_d11ec5b9a9a0c33fca703251,total_disaster_events,idn.13.1303,2022-01-01,2022-12-31,annual,1,count,observed,bnpbprov_total_2c685281d98ff22015683a15,false,,BNPB/DIBI total-event matrix 2010-2024 release,,"source_record=bnpb_total_events_kab_2010_2024; source_geography=1302.0:SOLOK; mapping=explicit_current_Permendagri_entity_crosswalk; entity_set_continuity_2010_2024=qualified; exact_polygon_harmonization=not_proven; release_revision_provenance=M44; recorded-event counts may reflect reporting intensity, classification practice, and retrospective source revision."
